CAIMEOX/cairoon|0.1.0|LGPL-2.1-only OR MPL-1.1|MoonBit native bindings for the Cairo graphics library.
CAIMEOX/color|0.1.0|Apache-2.0|A library for color space conversions in MoonBit
CAIMEOX/csmith_wrapper|0.1.0|Apache-2.0|
CAIMEOX/diet|0.1.3|Apache-2.0|Discrete Interval Encoding Trees
CAIMEOX/evmasm|0.1.0|Apache-2.0|Fork-aware Ethereum EVM assembler/disassembler library for MoonBit
CAIMEOX/feat-moon|0.2.0|MIT|Functional enumeration of algebraic types
CAIMEOX/fenwick|0.1.1|Apache-2.0|Fenwick tree implementation in MoonBit
CAIMEOX/functor|0.1.1|Apache-2.0|Naive functor implementation using virtual packages
CAIMEOX/graph-algebra|0.1.5|Apache-2.0|A minimalistic and elegant approach to working algebraically with graphs
CAIMEOX/lazy|0.1.0|Apache-2.0|Lazy Initialized Value
CAIMEOX/lazy-list|0.1.2|MIT|Lazy list in MoonBit
CAIMEOX/list|0.1.0|MIT|
CAIMEOX/midi|0.1.0|Apache-2.0|A MIDI file parser and writer in MoonBit
CAIMEOX/moon_egg|0.1.0|Apache-2.0|E-graph implementation in MoonBit
CAIMEOX/moon_floating|0.3.0|Apache-2.0|A MoonBit library for real and complex floating-point arithmetic with arbitrary precision
CAIMEOX/Motiva|0.1.0|Apache-2.0|A MoonBit animation engine inspired by Manim.
CAIMEOX/qc_pyext|0.1.1|Apache-2.0|QuickCheck and reference testing extension for Python programs
CAIMEOX/quickcheck|0.6.9|Apache-2.0|Automatic testing of MoonBit programs
CAIMEOX/reed_solomon|0.1.0|Apache-2.0|Reed Solomon error correction implementation in Moonbit
CAIMEOX/rss_reader|0.1.0|MIT|RSS reader built with Moonbit
CAIMEOX/state|0.1.1|MIT|An implementation of State Monad in Moonbit
CAIMEOX/svg|0.1.2|Apache-2.0|MoonBit SVG eDSL
CAIMEOX/symbit|0.5.10|Apache-2.0|A symbolic mathematics library for Moonbit.
CAIMEOX/t|0.1.0|MIT|
CAIMEOX/vlq|0.1.0|Apache-2.0|MoonBit library for encoding and decoding Variable Length Quantities
CAIMEOX/zipper|0.1.0|Apache-2.0|The zipper data structure
CAIMEOX/原来可以发中文包|0.1.1|Apache-2.0|
calacaly/moon_log|0.1.11|Apache-2.0|让人不懵逼的日志库，目前还是愚蠢的实现，以后会进行优化（也许）。
caozhanhao/qrcode|0.1.1|Apache-2.0|QR Code Generator for MoonBit
cauchyQ/moon-sketch-kit|0.1.0|Apache-2.0|MoonBit streaming sketch toolkit for approximate analytics, drift checks, and compact data reports.
CCllff-jpg/MoonLogTrace|0.1.1|Apache-2.0|纯 MoonBit 结构化日志与追踪库，支持5级过滤、11种格式化器、Span追踪、RequestContext、Pipeline中间件、批量日志、Counter/Timer/Histogram统计、EventMeter/RateLimiter、Syslog/GELF格式、日志分流路由，零依赖
CGaaaaaa/MoonProgress|0.1.0|Apache-2.0|A configurable command-line progress bar library for MoonBit
CGaaaaaa/reactivex|0.1.0|MIT|Reactive Extensions for MoonBit - 响应式编程库
CGaaaaaa/signal|0.1.2|MIT|高效的函数式响应编程库 - MoonBit Signal 实现
cgx027/test_moon|0.1.0|Apache-2.0|
cg-zhou/bezier-easing|0.3.3|MIT|[DEPRECATED] Use cg-zhou/bezier_easing instead. MoonBit port of bezier-easing
cg-zhou/bezier_easing|0.4.0|MIT|MoonBit port of bezier-easing
cg-zhou/drawille|0.1.2|MIT|MoonBit port of drawille for terminal graphics with Unicode Braille characters
cg-zhou/moon_lottie|0.3.0|MIT|MoonBit 原生高性能 Lottie 动画引擎 | High-performance Lottie animation engine in native MoonBit
chaijie2018/bloom|0.1.3|MIT|Bloom Filter
chaijie2018/bloom-filter|0.1.4|MIT|bloom filter
chawyehsu/punycode|0.0.5|Apache-2.0 OR Unlicense|Punycode encoding and decoding in MoonBit
chawyehsu/stringprep|0.0.1|Apache-2.0 OR Unlicense|Preparation of Internationalized Strings (stringprep) in MoonBit
chensuiyi/t1|0.0.2|Apache-2.0|
chensuiyi/t22|0.1.0|Apache-2.0|
chgttyyr/MoonSpectrum|0.1.0|Apache-2.0|MoonBit-native scientific signal processing toolkit with FFT, spectra, windows, convolution, FIR filters, and CLI analysis.
chhnb/algorithm|0.1.0|Apache-2.0|
chnlkw/moonxi-net|0.1.1|MIT|A deep learning training framework built with MoonBit, featuring tape-based autograd and PyTorch-like API (CPU backend)
chnlkw/moonxi-net-gpu|0.1.1|MIT|GPU backend: CUDA/cuDNN tensor operations and training for moonxi-net
chronostesis/check_prime|0.1.0|Apache-2.0|
clhhhhh/moon-csv-lite|0.1.0|MIT|A MoonBit CSV quality toolkit for auditing, contracts, gates, and chart previews.
CMoonBack/Binary-Exponentiation|0.1.0|Apache-2.0|Binary Exponentiation in moonbit
CMoonBack/computational-geometry|0.2.3|Apache-2.0|computational geometry library in moonbit
CMoonBack/string-Algorithm|0.1.0|Apache-2.0|
cn-cheems/moonnavkit|0.3.0|Apache-2.0|Weighted path planning, multi-goal flow fields, and search visualization for MoonBit.
cn-wn/moonsignalkit|0.2.1|Apache-2.0|Streaming telemetry statistics and change detection for MoonBit.
cn-xjr/moongeokit|0.2.1|Apache-2.0|Robust 2D geometry and observable spatial indexing for MoonBit.
cn-ybm/MoonHashKit|0.2.0|Apache-2.0|Content-defined chunking, rolling fingerprints, and deduplication for MoonBit.
co63oc/moonbit_promptkit|0.1.2|Apache-2.0|The MoonBit-implemented AI model SDK supports OpenAI compatible interfaces and is compatible with multiple platforms.
codeworm96/magpiedb|0.2.0|Apache-2.0|vibe coded lightweight OLAP database
cogna-dev/hello|0.1.0|MIT|Hello World example for moonbit-actions
cogna-dev/mapi|0.1.1|Apache-2.0|
cogna-dev/mcp-sdk|0.1.0|MIT|MoonBit implementation of the Model Context Protocol (MCP)
cogna-dev/parkit|0.1.1|Apache-2.0|A nom-like parser combinator framework for MoonBit
cogna-dev/sbom|0.1.1|MIT|Software Composition Analysis - SBOM generation and dependency management
cogna-dev/x|0.1.2|MIT|The experimental monorepo for real-world MoonBit packages
colmugx/jieba|0.1.1|Apache-2.0|Chinese word segmentation based on jieba
colmugx/mcp|0.14.0|Apache-2.0|Type-safe MCP SDK in MoonBit with server/client support and dual transport (STDIO/HTTP)
colmugx/posoco|0.4.1|Apache-2.0|Zero-dependency LLM Agent framework with hexagonal (ports-and-adapters) architecture. Defines 7 traits + Agent loop.
colmugx/reader|0.3.0|Apache-2.0|An implementation of Reader Monad in Moonbit
colmugx/sqlite3|0.2.0|Apache-2.0|A lightweight, low-level SQLite3 binding for MoonBit, providing a thin interface over the SQLite3 C API.
colmugx/sqlite-vec|0.2.4|Apache-2.0|SQLite3 binding with sqlite-vec vector search extension.
conglinyizhi/better-edit-tools-mcp|0.1.0|Apache-2.0|
conglinyizhi/moon-embed|0.1.2|MIT|Embed static files into MoonBit binaries
connect0459/starlark|0.4.0|Apache-2.0|The Starlark configuration language, implemented in Moonbit
connect0459/urllib|0.4.2|Apache-2.0|WHATWG-compliant URL and URLPattern library for MoonBit
CorvusCinereus/miniaudio|0.4.0|Apache-2.0|miniaudio的moonbit封装
cosettese/moonchartkit|0.2.0|Apache-2.0|Accessible SVG and Markdown report artifacts for MoonBit.
cou723/html-parser|0.1.0|MIT|Lightweight and practical HTML parser for MoonBit
cxh04/cron_mbt|0.1.0|Apache-2.0|A cron expression parser and scheduler for MoonBit.
cybershang/agent-o11y-demo|0.1.1|MulanPSL-2.0|
cybershang/agent-telemetry|0.1.6|MulanPSL-2.0|
cyhforlight/moonbit-hello-card|0.1.0|Apache-2.0|
DawnMagnet/sparse-table|0.1.1|MIT|
DC-Z-lab/moonllm|0.1.0|Apache-2.0|Type-safe, OpenAI-compatible LLM client for MoonBit: chat completions, streaming (SSE), tool calling, and multimodal input.
Demonmasterlqx/box2d_ffi|0.2.7|Apache-2.0|moonbit ffi box2d
Demonmasterlqx/moonbit_stickman_map_loader|0.0.9|Apache-2.0|
Demonmasterlqx/MoonP5|0.0.8|Apache-2.0|
dgmxjj/moonplot|0.1.0|MIT|
didiLjf/moonorbit|0.1.0|Apache-2.0|A lightweight, high-performance Actor concurrency framework for MoonBit
dijdzv/moon-release|0.3.2|MIT|Automated release management tool for MoonBit
dijdzv/websys|0.3.0|MIT|MoonBit bindings for Web APIs (DOM, HTML, Canvas, WebGL, etc.)
djisnj/djisnj|0.1.0|Apache-2.0|
dongyvxuan/dongyx|0.1.1|Apache-2.0|
dowdiness/alga|0.4.0|Apache-2.0|Algebraic graphs for MoonBit — directed graph trait and algorithm library inspired by Haskell's alga
dowdiness/btree|0.1.0|Apache-2.0|Generic counted B-tree with O(log n) indexed access, insert, delete, and range operations
dowdiness/event-graph-walker|0.3.0|Apache-2.0|Implementation of the eg-walker CRDT algorithm with FugueMax sequence CRDT
dowdiness/ffi_c|0.1.1|Apache-2.0|
dowdiness/graphviz|0.1.0|Apache-2.0|Parser, layout engine, and SVG renderer for Graphviz DOT graphs
dowdiness/incr|0.14.0|Apache-2.0|Salsa-inspired incremental recomputation library with automatic dependency tracking, backdating, and durability-based verification skipping
dowdiness/js_engine|0.4.0|Apache-2.0|JavaScript interpreter in MoonBit
dowdiness/margs|0.1.2|Apache-2.0|A simple command-line argument parser for MoonBit.
dowdiness/moondsp|0.5.1|Apache-2.0|MoonBit DSP audio engine
dowdiness/order-tree|0.1.1|Apache-2.0|Order-statistic B-tree with O(log n) position-indexed operations
dowdiness/rle|0.2.3|Apache-2.0|Generic run-length encoded sequence with O(log n) position lookup
dowdiness/svg-dsl|0.1.0|Apache-2.0|SVG DSL for programmatic SVG generation in MoonBit
